exec_entity_id,type,json_value,string_value
5384955,hq_address,,United Kingdom
5384955,scale,,TBC
5384955,sectors,"[""Financial Services""]",
5384955,sub_sectors,"[""Insurance""]",
1424003,hq_address,,United States
1424003,industry_tags,"[""Healthcare Data and Analytics"",""Healthcare Software""]",
1424003,scale,,Large Cap
1424003,sectors,"[""Business Services"",""Technology & Telecoms""]",
1424003,sub_sectors,"[""Data & Information Services"",""Software""]",
1232214,hq_address,,United States
1232214,industry_tags,"[""Cybersecurity Software""]",
1232214,scale,,Large Cap
1232214,sectors,"[""Technology & Telecoms""]",
1232214,sub_sectors,"[""Software""]",
1461707,hq_address,,United States
1461707,scale,,Small Cap
1351170,hq_address,,United States
1351170,industry_tags,"[""Cybersecurity Software""]",
1351170,scale,,Very Large Cap
1351170,sectors,"[""Technology & Telecoms""]",
1351170,sub_sectors,"[""Software""]",
5383998,hq_address,,United Kingdom
5383998,industry_tags,"[""Property and Casualty Insurance"",""Insurance Distribution""]",
5383998,scale,,Mid Cap
5383998,sectors,"[""Financial Services""]",
5383998,sub_sectors,"[""Insurance""]",
5385129,hq_address,,United Kingdom
5385129,scale,,Small Cap
5383757,hq_address,,United States
5383757,scale,,TBC
5383757,sectors,"[""Healthcare & Pharmaceuticals""]",
1381007,hq_address,,France
1381007,hq_address,,France
1381007,industry_tags,"[""Dental, Optical, Hearing and Pharmacies"",""Speciality Retail""]",
1381007,scale,,Large Cap
1381007,sectors,"[""Healthcare & Pharmaceuticals"",""Consumer, Retail & Leisure""]",
1381007,sub_sectors,"[""Patient Services"",""Retail""]",
1381081,hq_address,,Italy
1381081,industry_tags,"[""Apparel and Accessories"",""Medical Devices""]",
1381081,scale,,Large Cap
1381081,sectors,"[""Consumer, Retail & Leisure"",""Healthcare & Pharmaceuticals""]",
1381081,sub_sectors,"[""Consumer Durables"",""Devices and Equipment""]",
1381071,hq_address,,Italy
1381071,industry_tags,"[""Apparel and Accessories"",""Medical Devices""]",
1381071,scale,,Large Cap
1381071,sectors,"[""Consumer, Retail & Leisure"",""Healthcare & Pharmaceuticals""]",
1381071,sub_sectors,"[""Consumer Durables"",""Devices and Equipment""]",
1185541,hq_address,,United States
1185541,hq_address,,United States
1185541,industry_tags,"[""Travel and Tourism Software"",""Consumer Marketplaces""]",
1185541,scale,,Very Large Cap
1185541,sectors,"[""Technology & Telecoms"",""Consumer, Retail & Leisure""]",
1185541,sub_sectors,"[""Software"",""Consumer Services""]",
1417859,hq_address,,
1417859,scale,,Small Cap
1140964,hq_address,,United States
1140964,scale,,Mid Cap
1417865,hq_address,,
1417865,scale,,Small Cap
5385219,hq_address,,United Kingdom
5385219,scale,,Small Cap
1417883,hq_address,,United States
1417883,industry_tags,"[""Biotechnology""]",
1417883,scale,,Mid Cap
1417883,sectors,"[""Healthcare & Pharmaceuticals""]",
1417883,sub_sectors,"[""Pharmaceuticals, Biotech and Pharma Services""]",
1069548,scale,,Small Cap
1232022,hq_address,,Germany
1232022,industry_tags,"[""Industrial and Built Environment Software""]",
1232022,scale,,Mid Cap
1232022,sectors,"[""Technology & Telecoms""]",
1232022,sub_sectors,"[""Software""]",
5384168,hq_address,,United Kingdom
5384168,scale,,TBC
1252889,hq_address,,United States
1252889,industry_tags,"[""Payments"",""Retail and Leisure Software""]",
1252889,scale,,Large Cap
1252889,sectors,"[""Financial Services"",""Technology & Telecoms""]",
1252889,sub_sectors,"[""Software"",""Banking""]",
1305458,hq_address,,United Kingdom
1305458,industry_tags,"[""Insurance Distribution""]",
1305458,scale,,TBC
1305458,sectors,"[""Financial Services""]",
1305458,sub_sectors,"[""Insurance""]",
5382922,hq_address,,United Kingdom
5382922,industry_tags,"[""Insurance Services"",""Property and Casualty Insurance""]",
5382922,scale,,Large Cap
5382922,sectors,"[""Financial Services""]",
5382922,sub_sectors,"[""Insurance""]",
1141746,hq_address,,
1141746,scale,,Small Cap
3429234,hq_address,,Luxembourg
3429234,hq_address,,Luxembourg
3429234,industry_tags,"[""Fund Administration""]",
3429234,scale,,Large Cap
3429234,sectors,"[""Business Services""]",
