assignment_id,industry,sectors,sub_sectors,scale,country
7242,"[""Travel and Tourism Software"",""Consumer Marketplaces""]","[""Technology & Telecoms"",""Consumer, Retail & Leisure""]","[""Software"",""Consumer Services""]",Large Cap,Sweden
6740,"[""ERP, HCM, Accounting, and Tax Software"",""Public Sector and Education Software"",""Legal and Professional Services Software""]","[""Technology & Telecoms""]","[""Software""]",Large Cap,United Kingdom
6149,"[""Financial Data and Analytics""]","[""Business Services""]","[""Data & Information Services""]",Mid Cap,United Kingdom
6605,"[""Holiday Lets and Holiday Parks""]","[""Consumer, Retail & Leisure""]","[""Leisure and Hospitality""]",Large Cap,United Kingdom
6626,"[""Holiday Lets and Holiday Parks""]","[""Consumer, Retail & Leisure""]","[""Leisure and Hospitality""]",Large Cap,United Kingdom
6021,"[""Healthcare Software"",""ERP, HCM, Accounting, and Tax Software""]","[""Technology & Telecoms""]","[""Software""]",Large Cap,United Kingdom
7080,"[""Systems Integrators"",""Managed Services""]","[""Technology & Telecoms""]","[""IT Services""]",Mid Cap,Netherlands
6870,"[""Electrical Equipment and Components""]","[""Industrials & Materials""]","[""Industrial Products""]",Large Cap,Belgium
7168,"[""K-12 Education and Care""]","[""Consumer, Retail & Leisure""]","[""Education and Training""]",Large Cap,United Kingdom
6104,"[""Market Research"",""Consumer Data and Loyalty"",""Other Information Services""]","[""Business Services""]","[""Data & Information Services""]",Very Large Cap,United Kingdom
6360,"[""Supply Chain & Transportation Software"",""Industrial and Built Environment Software""]","[""Technology & Telecoms""]","[""Software""]",Very Large Cap,United Kingdom
6711,"[""Healthcare Software"",""Payments"",""ERP, HCM, Accounting, and Tax Software"",""Public Sector and Education Software""]","[""Financial Services"",""Technology & Telecoms""]","[""Banking"",""Software""]",Large Cap,United Kingdom
6012,"[""Healthcare Software"",""Healthcare Data and Analytics""]","[""Technology & Telecoms"",""Business Services""]","[""Data & Information Services"",""Software""]",Large Cap,Italy
6271,"[""Healthcare Software"",""Healthcare Data and Analytics""]","[""Technology & Telecoms"",""Business Services""]","[""Data & Information Services"",""Software""]",Large Cap,Italy
6098,"[""Consumer Marketplaces""]","[""Consumer, Retail & Leisure""]","[""Consumer Services""]",Large Cap,Italy
